TableID,Variable name,Unit,Description,How measured
,norwegian_name,,Norwegian species name,literature
,flowering_start,,Start of flowering defined as spring early mid or late summer,literature
,flowering_finish,,End of flowering defined as spring early mid late summer or autumn,literature
,lower_vegetation_zone,,Lower vegetation zone,literature
,upper_vegetation_zone,,Upper vegetation zone,literature
,habitat,,Habitat the species occurs,literature
,soil_type,,Species association with base rich soils,literature
,rarity,,Common or scattered species,literature
,functional_group,,Plant functional group,literature
,lifespan,,Species lifespan,literature
,polyploid_2n,,Species polyploidy level,literature
,flowers_spring,,Species with main flowering time in spring,literature
,flowers_early_summer,,Species with main flowering time in early summer,literature
,flowers_mid_summer,,Species with main flowering time in mid-summer,literature
,flowers_late_summer,,Species with main flowering time in late summer,literature
,flowers_autumn,,Species with main flowering time in autumn,literature
,min_height,cm,Minimum species height,literature
,max_height,cm,Maximum species height,literature
,nemoral,,Species main vegetation zone is nemoral,literature
,boreal_nemoral,,Species main vegetation zone is boreal to nemoral,literature
,south_boreal,,Species main vegetation zone is south boreal,literature
,mid_boreal,,Species main vegetation zone is mid boreal,literature
,north_boreal,,Species main vegetation zone is north boreal,literature
,low_alpine,,Species main vegetation zone is low alpine,literature
,mid_alpine,,Species main vegetation zone is mid-alpine,literature
,high_alpine,,Species main vegetation zone is high alpine,literature
,grassland,,Species main habitat type is grassland,literature
,forest,,Species main habitat type is forest,literature
,rocky,,Species main habitat type is rocky,literature
,wetland,,Species main habitat type is wetland,literature
,Lids_page,,Page number of species in Lids Flora,literature
,Mossberg_page,,Page number of species in Mossbergs Flora,literature
,cut,,Number of times the plot has been cut,defined
,fluxID,,Unique ID for each flux,defined
,type,,Type of flux measurements,defined
,replicate,,Replicate measurement of same turf,defined
,PARavg,micromol/s/sqm,PAR value measured every 15 seconds during flux measurement and averaged,measured
,temp_airavg,Kelvin,Air temperature measured inside the flux chamber every 10 seconds and averaged,measured
,r.squared,,R squared of the linear relation between CO2 concentration and time, calculated
,p.value,,p value of the linear relation between CO2 concentration and time, calculated
,nobs,,Number of CO2 concentration measurements for each flux, measured
,flux,mmol/sqm/h,CO2 flux (postive when emitting to atmosphere  negative when vegetation uptake), calculated
,teabag_ID,,,defined
,timing,,Time of recovery (fall or spring),defined
,tea_type,,Type of teabag (red or green),defined
,weight_loss_g,g,Weight loss in g between burial and recovery,defined
,incubation_time,days,Incubation time of tea bags in days,defined
,burial_depth_cm,cm,Burial depth in cm,defined
,burial_date,yyyy-mm-dd,Burial date,defined
,preburial_weight_g,g,Weight of tea bag before burial,defined
,recover_date,yyyy-mm-dd,Recovery date,defined
,post_burial_weight_g,g,Weight of tea bag after recovery,defined
,comment_2,,Comments,
,Namount_kg_ha_y,kg ha^-1 y^-1,Amount of nitrogen added,defined
,Notes,,Notes,
,elements,,Chemical elements,defined
,retrieval_date,yyyy-mm-dd,Retrieval date,defined
prs,value,micro grams/10cm2/35 days,Amount of nutrients from each element,measured
,detection_limit,,Detection limit for specific element,defined
,soil_temperature,¡C,Soil temperature at 5 cm below ground,measured
,ground_temperature,¡C,Ground temperature,measured
,air_temperature,¡C,Air temperature 15 cm above ground,measured
,soilmoisture,percentage,Soil moisture,measured
